sample_id,audio_path,original_file,genre,start_sec,shape
0,data\processed\audio\sample_0000.npy,blues.00081.wav,blues,0.0,"(128, 259)"
1,data\processed\audio\sample_0001.npy,blues.00081.wav,blues,1.5,"(128, 259)"
2,data\processed\audio\sample_0002.npy,blues.00081.wav,blues,3.0,"(128, 259)"
3,data\processed\audio\sample_0003.npy,blues.00081.wav,blues,4.5,"(128, 259)"
4,data\processed\audio\sample_0004.npy,blues.00081.wav,blues,6.0,"(128, 259)"
5,data\processed\audio\sample_0005.npy,blues.00081.wav,blues,7.5,"(128, 259)"
6,data\processed\audio\sample_0006.npy,blues.00081.wav,blues,9.0,"(128, 259)"
7,data\processed\audio\sample_0007.npy,blues.00081.wav,blues,10.5,"(128, 259)"
8,data\processed\audio\sample_0008.npy,blues.00081.wav,blues,12.0,"(128, 259)"
9,data\processed\audio\sample_0009.npy,blues.00014.wav,blues,0.0,"(128, 259)"
10,data\processed\audio\sample_0010.npy,blues.00014.wav,blues,1.5,"(128, 259)"
11,data\processed\audio\sample_0011.npy,blues.00014.wav,blues,3.0,"(128, 259)"
12,data\processed\audio\sample_0012.npy,blues.00014.wav,blues,4.5,"(128, 259)"
13,data\processed\audio\sample_0013.npy,blues.00014.wav,blues,6.0,"(128, 259)"
14,data\processed\audio\sample_0014.npy,blues.00014.wav,blues,7.5,"(128, 259)"
15,data\processed\audio\sample_0015.npy,blues.00014.wav,blues,9.0,"(128, 259)"
16,data\processed\audio\sample_0016.npy,blues.00014.wav,blues,10.5,"(128, 259)"
17,data\processed\audio\sample_0017.npy,blues.00014.wav,blues,12.0,"(128, 259)"
18,data\processed\audio\sample_0018.npy,blues.00003.wav,blues,0.0,"(128, 259)"
19,data\processed\audio\sample_0019.npy,blues.00003.wav,blues,1.5,"(128, 259)"
20,data\processed\audio\sample_0020.npy,blues.00003.wav,blues,3.0,"(128, 259)"
21,data\processed\audio\sample_0021.npy,blues.00003.wav,blues,4.5,"(128, 259)"
22,data\processed\audio\sample_0022.npy,blues.00003.wav,blues,6.0,"(128, 259)"
23,data\processed\audio\sample_0023.npy,blues.00003.wav,blues,7.5,"(128, 259)"
24,data\processed\audio\sample_0024.npy,blues.00003.wav,blues,9.0,"(128, 259)"
25,data\processed\audio\sample_0025.npy,blues.00003.wav,blues,10.5,"(128, 259)"
26,data\processed\audio\sample_0026.npy,blues.00003.wav,blues,12.0,"(128, 259)"
27,data\processed\audio\sample_0027.npy,blues.00094.wav,blues,0.0,"(128, 259)"
28,data\processed\audio\sample_0028.npy,blues.00094.wav,blues,1.5,"(128, 259)"
