device_name,num_measurements,output_path,min_db,max_db,mean_db
7Hz Salnotes x Crinacle Zero 2,2,E:\Kuliah\SMT 8\DEEP-LEARNING\Final_Project\data\processed\device\7Hz Salnotes x Crinacle Zero 2.npy,-20.0,11.517517202850486,3.075897647821054
7Hz Salnotes Zero,2,E:\Kuliah\SMT 8\DEEP-LEARNING\Final_Project\data\processed\device\7Hz Salnotes Zero.npy,-20.0,9.125808673212662,2.8886431400084907
Blon BL03,1,E:\Kuliah\SMT 8\DEEP-LEARNING\Final_Project\data\processed\device\Blon BL03.npy,-20.0,9.89784014655499,3.5461357549089936
Blon BL05,1,E:\Kuliah\SMT 8\DEEP-LEARNING\Final_Project\data\processed\device\Blon BL05.npy,-20.0,9.267912193111016,2.753280520753589
CCA CRA Plus,2,E:\Kuliah\SMT 8\DEEP-LEARNING\Final_Project\data\processed\device\CCA CRA Plus.npy,-20.0,9.684479811783033,4.336836715868023
CCA CRA,2,E:\Kuliah\SMT 8\DEEP-LEARNING\Final_Project\data\processed\device\CCA CRA.npy,-20.0,12.893776090660397,4.308450643274048
Kinera Celest Wyvern Abyss,2,E:\Kuliah\SMT 8\DEEP-LEARNING\Final_Project\data\processed\device\Kinera Celest Wyvern Abyss.npy,-20.0,10.022600270812378,3.2066195336290946
Kinera Freya,1,E:\Kuliah\SMT 8\DEEP-LEARNING\Final_Project\data\processed\device\Kinera Freya.npy,-20.0,14.056629151073716,3.361356702380971
Kiwi Ears Cadenza,2,E:\Kuliah\SMT 8\DEEP-LEARNING\Final_Project\data\processed\device\Kiwi Ears Cadenza.npy,-20.0,9.112048120038502,2.9012832037016976
Kiwi Ears Quintet,2,E:\Kuliah\SMT 8\DEEP-LEARNING\Final_Project\data\processed\device\Kiwi Ears Quintet.npy,-15.362796000926556,9.443004791251573,2.9046908746375952
KZ Castor (DDDD),2,E:\Kuliah\SMT 8\DEEP-LEARNING\Final_Project\data\processed\device\KZ Castor (DDDD).npy,-20.0,12.388084465000674,5.245239326531463
